Label,Accuracy,Precision,Recall
30,0.1896896896896897,0.19840352539110304,0.8062029212513475
40,0.23323323323323322,0.24115502123407265,0.7883122235531191
50,0.26176176176176175,0.2690534959112034,0.7529234847151665
60,0.30180180180180183,0.3133128292117902,0.7488341087026137
70,0.32932932932932935,0.3427033778061784,0.7122209244050073
80,0.37537537537537535,0.3891507531298948,0.6811518182547538
90,0.42592592592592593,0.4405313156722791,0.6970445478042987
100,0.45145145145145144,0.4630165681689681,0.6686823234052207
110,0.47297297297297297,0.48692605368849773,0.6766224162821346
120,0.495995995995996,0.5058265685724308,0.6587283518082925
130,0.531031031031031,0.5450124252649049,0.6572342338278107
140,0.52002002002002,0.533842149565976,0.6718631316723803
150,0.5430430430430431,0.5568390616498005,0.6678281291645879
