Label,Accuracy,Precision,Recall
20,0.6416978776529338,0.7202774451097804,0.6672111433405848
30,0.8726591760299626,0.8537604790419161,0.8477145148356054
40,0.8614232209737828,0.9012754491017964,0.8427096052096053
50,0.9238451935081149,0.9197225548902196,0.7750908095735682
60,0.9188514357053683,0.9198942115768464,0.7526090129538406
70,0.9425717852684145,0.9272075848303393,0.8155969634230503
80,0.9463171036204744,0.9308722554890219,0.7841052199865817
90,0.9275905118601748,0.9212195608782435,0.7476074621856418
100,0.9375780274656679,0.9252115768463073,0.7601942621466938
110,0.947565543071161,0.9292035928143713,0.8024242669353079
120,0.9325842696629213,0.9210479041916168,0.7527125568809993
130,0.9275905118601748,0.9147165668662675,0.7476246812627706
140,0.9188514357053683,0.9133912175648703,0.7073644326066972
150,0.9176029962546817,0.9193952095808383,0.7376499475183685
