Label Count,Accuracy,Precision,Recall,F1
10,0.5375,0.41060731514147886,0.3502170945649207,0.5184755752889234
20,0.49,0.49678636481915167,0.38228845446236753,0.5395344991716737
30,0.5275,0.42615414710485133,0.4934733152124457,0.45275328368718587
40,0.5575,0.42885608337097436,0.37707225011572837,0.5543087321515134
50,0.65,0.6860927104685871,0.5221847143586273,0.4882582427279704
60,0.61,0.6765580147551978,0.4611921803226151,0.43931355679445705
70,0.6125,0.6975885010799634,0.455198043893696,0.4328141979142649
80,0.575,0.685602952821794,0.43131930349321657,0.3779780528747593
90,0.6475,0.6403377110694184,0.4704128727658139,0.4995323423171625
100,0.71,0.6714596957453592,0.5322540815635445,0.558533780601927
110,0.6625,0.6399021398194256,0.476959894095444,0.5079278259776185
120,0.645,0.6902304163788676,0.5497282774520625,0.571895941672818
130,0.57,0.6910070921985816,0.40316988925684577,0.3668984835313435
140,0.585,0.6836307900137687,0.44647259209919055,0.4209397945100747
150,0.6375,0.7256007547773674,0.4853306829265908,0.4777669004849532
