Labels,accuracy,precision,recall,loss
10,0.1005,0.6423029487610719,0.20171365395245994,1.8366475105285645
20,0.101,0.6601005025125628,0.2027086788280818,1.818527102470398
30,0.1005,0.6700400801603207,0.20085682697622995,1.7604032754898071
40,0.1825,0.5600729054262508,0.23754289146318688,1.5686310529708862
50,0.5185,0.7086410452106315,0.24852891859517298,1.3290964365005493
60,0.5345,0.7370897234927307,0.256129457240921,1.2776659727096558
70,0.493,0.7144221196188456,0.2513243545762479,1.323394775390625
80,0.5685,0.77041144106365,0.28901193183692014,1.2190793752670288
90,0.5095,0.7616105643109986,0.24275418789629905,1.4213467836380005
100,0.613,0.4199361223259436,0.3562860252291719,1.134057641029358
110,0.6235,0.6071571075156397,0.38231515977647534,1.3612900972366333
120,0.6345,0.49016129683157905,0.4611036656229322,1.259881615638733
130,0.638,0.4996544529862705,0.4439587613647329,1.5823774337768555
140,0.622,0.5189704966133428,0.44038425429107086,1.9582059383392334
150,0.6075,0.5752320947090452,0.48023644904215174,2.164292097091675
