Label_Count,Accuracy,Precision,Recall,F1
10,0.80875,0.8380439049430807,0.6869685271688817,0.7029607556374152
20,0.86875,0.8769894047465286,0.9039505383197227,0.8794289513684742
30,0.7825,0.8413922946227671,0.806038476412104,0.7874081146089135
40,0.5825,0.7754734211730362,0.5630846791798927,0.5117468756675151
50,0.93625,0.9298212686148641,0.9551912763513184,0.939495056479315
60,0.895,0.8959830574852865,0.9318526847564472,0.905114543975215
70,0.91625,0.9120501028160516,0.9438463219197682,0.9231745991918606
80,0.815,0.8425728537901117,0.895329503232262,0.8434272174432561
90,0.9575,0.9540780141843972,0.9696226715370795,0.9607716900508948
100,0.96375,0.958017842832415,0.9749719414476891,0.9655700639991752
110,0.9275,0.9195360044520312,0.9553242449707242,0.9331276601369393
120,0.94125,0.9320779386476788,0.961795951478834,0.944484300106092
130,0.89625,0.8994843946054046,0.9383865755940305,0.909844584646556
140,0.9575,0.9438944064494725,0.973546143607621,0.9571390301582055
150,0.965,0.9592683822493605,0.9741637341746552,0.9663576096640493
